movieId;movieName;releaseDate
846;Against The Wall:;1994 TV & 2010
847;Against the Dark;2009
848;Against the Ropes;2004
849;Against the Wind;1948
850;Agantuk;1991
851;Agatha;1979
852;Age of Consent;1969
853;Age of Success;1988
854;Agent Carter;2013
855;Agent Cody Banks;2003
856;Agent Cody Banks 2: Destination London;2004
857;Agent F.O.X.;2015
858;Agent Orange;2004
859;Agent Vinod:;1977 & 2012
860;Agent Wild Duck;2002
861;Agent for H.A.R.M.;1966
862;Aggar;2007
863;Agneepath:;1990 & 2012
864;Agnes and His Brothers;2004
865;Agnes of God;1985
866;Agni Sakshi:;1982, 1996 & 1999
867;Agora;2009
868;Aguirre, the Wrath of God;1972
869;Ah! Nomugi Toge;1979
870;Ah, Wilderness!;1935
871;Ahingsa-Jikko mee gam;2005
872;Ahista Ahista:;1981 & 2016
873;Ahora o nunca;2015
874;Ahí está el detalle;1940
875;Ai;2004
876;Ai City;1986
877;Ai-Fak;2004
878;Aida:;1953 & 1987
879;Aikatsu! Music Award: Minna de Shō o MoraimaSHOW!;2015
880;Aikatsu! The Movie;2014
881;Aileen Wuornos: The Selling of a Serial Killer;1992
882;Aileen: Life and Death of a Serial Killer;2003
883;Aimée & Jaguar;1999
884;Ain't Them Bodies Saints;2013
885;Aina:;1977 & 2013
886;Air America;1990
887;Air Bud;1997
888;Air Bud Spikes Back;2003
889;Air Bud: Golden Receiver;1998
890;Air Bud: Seventh Inning Fetch;2002
891;Air Bud: Spikes Back;2003
892;Air Bud: World Pup;2000
893;Air Buddies;2006
894;Air Force;1943
895;Air Force One;1997
896;Air Raid Wardens;1943
897;Airborne:;1962 & 1993
898;Airheads;1994
899;Airlift;2016
900;Airplane II: The Sequel;1982
901;Airplane!;1980
902;Airport '77;1977
903;Airport 1975;1974
904;Airport:;1970, 1993 & 2009
905;Airspeed;1998
906;Aisha;2010
907;Aitraaz;2004
908;Ajab Gazabb Love;2012
909;Ajab Prem Ki Ghazab Kahani;2009
910;Ajay:;1996 & 2006
911;Ajnabee:;1974 & 2001
912;Ajooba;1991
913;Ajooba Kudrat Ka;1991
914;Akasha Gopuram;2006
915;Akayla;1991
916;Akbar-Jodha;2007
917;Akele Hum Akele Tum;1995
918;Akhiyon Se Goli Maare;2002
919;Akira:;1988, 2016 Hindi, 2016 Kannada
920;Akkada Abbai Ikkada Ammayi;1996
921;Akkare Akkare Akkare;1990
922;Akrobatisches Potpourri;1895
923;Akropol;1995
924;Aks:;2001 & 2018
925;Aksar;2006
926;Al Franken: God Spoke;2006
927;Al Haram;1965
928;Al-Kompars;1993
929;Al-Lail;1992
930;Ala-Arriba!;1942
931;Aladdin;Golden Films, 1992
932;Aladdin and His Wonderful Lamp;1939
933;Aladdin and the King of Thieves;1996
